# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
3.000000000000000000e+00 4.041670396656847402e+02 3.595096612688156501e+00 2.114395846099354603e+00 3.595216847012194794e+00 2.114545395424678453e+00 9.422729055950421762e-01 3.242017690436797550e-01 3.242057131745315623e-01 1.925023870834053075e-01
7.000000000000000000e+00 8.772977971628197338e+02 5.640103561583311276e+00 3.046492090629683069e+00 5.641057710090111144e+00 3.047039081308143160e+00 4.778073662928446486e-01 -1.854996718335454736e-02 -1.855108244694000236e-02 2.388676948737165906e-01
1.200000000000000000e+01 7.843534987688342426e+02 1.226939918893032111e+00 -1.068714344614075662e+00 1.227346169728000369e+00 -1.068917073736860734e+00 3.379822856394992803e-01 -1.378841869143272378e-02 -1.379024155618391832e-02 1.258088537015228381e-01
1.700000000000000000e+01 9.716585956620854176e+02 -2.553388722580580694e+00 1.394993275427276469e+00 -2.554832232983750284e+00 1.395722749277986896e+00 1.838129282869718772e-01 -1.200760989041645480e-02 -1.201096707288222890e-02 2.325389564016750177e-01
2.200000000000000000e+01 7.300110547347269403e+02 3.286547259718029856e+00 -3.386961815567109735e+00 3.289072326410304559e+00 -3.389814136948126500e+00 2.822526946498475908e-01 -3.395974507103614870e-02 -3.399596535066023995e-02 1.901154906365790653e-01
2.700000000000000000e+01 9.565623790875968098e+02 9.239224647917441136e-01 1.051006175253662578e+00 9.248834037155845289e-01 1.052283654551762648e+00 2.650950988073418335e-01 -7.312969549189016422e-04 -7.370303961965821160e-04 1.578481331294098733e-01
3.200000000000000000e+01 1.125279983892310383e+03 3.581487753794265760e+00 2.755814101562841678e+00 3.587248967928598375e+00 2.760588434172720707e+00 2.352893858272187555e-01 -1.070122350875918406e-05 -1.625319632796023848e-05 1.333681573471781345e-01
3.700000000000000000e+01 1.196842843564778377e+03 2.622260132649626208e+00 -6.375695123792198826e-01 2.627409764433008554e+00 -6.392473297635241636e-01 1.740546261133871786e-01 4.561774329316072712e-02 4.570215529457772458e-02 1.201328137361616227e-01
4.200000000000000000e+01 1.440556122606326880e+03 2.517875204907315645e+00 3.510842275806529411e+00 2.525245901764422207e+00 3.520594665514109600e+00 2.542777355401634187e-01 -5.991627347502812700e-02 -6.008330277316196316e-02 1.605470620558990535e-01
4.700000000000000000e+01 1.375824636881136485e+03 -3.595200131065699051e-02 -8.540438600893111021e-01 -3.561353108074869628e-02 -8.572566823271559056e-01 2.141907011940895611e-01 -2.274550784769201542e-02 -2.283612441364582177e-02 1.018245471079251285e-01
5.200000000000000000e+01 1.343652889402946357e+03 -6.201317319829311447e-01 1.486084956888698461e+00 -6.233086922799360163e-01 1.492460920271634794e+00 2.873250915408572803e-01 3.063275943400056711e-03 3.092211335147038252e-03 1.296030877711898399e-01
5.700000000000000000e+01 1.621160408918162602e+03 -1.757727050883326481e+00 -4.295658574110112760e+00 -1.765298355945979836e+00 -4.317907715032814231e+00 3.924510661169210435e-01 4.087187328593707564e-02 4.107363256441856625e-02 2.213020595274526880e-01
6.200000000000000000e+01 1.682391305298554016e+03 -4.297856332143589420e+00 3.591165316947244612e+00 -4.323897054804626272e+00 3.612264861939782357e+00 4.400185355271404863e-01 6.089959237809487030e-02 6.126468671507358243e-02 -5.286438574999403894e-02
6.700000000000000000e+01 1.862837197270896695e+03 6.711148337907478778e-01 -2.727376439643799166e+00 6.764149125491581982e-01 -2.746275571278753880e+00 4.576337317117263881e-01 -9.779987574424894858e-02 -9.844624502863599802e-02 1.641054087282429463e-01
7.200000000000000000e+01 1.998406546517848938e+03 -9.728224506858337506e+00 1.339736177367849779e+00 -9.805924340169056563e+00 1.350527348618209000e+00 5.251822526891452014e-01 -1.731696336670520697e-01 -1.745298911771117623e-01 1.537308315397706016e-01
7.700000000000000000e+01 1.792748138184710115e+03 -4.554736478216183215e+00 6.076666394608173372e-01 -4.596785880005054281e+00 6.132061529768028096e-01 5.232017593683215839e-01 1.241224658146836968e-01 1.252653635240099650e-01 1.256652372265583753e-02
8.200000000000000000e+01 2.191701848837121361e+03 -1.188796543387339533e+01 -4.329477302296830810e-01 -1.200884969067145391e+01 -4.375544952878246963e-01 7.272261693759893841e-01 -6.407137667424474270e-02 -6.472135422360753010e-02 1.430619501039414321e-01
8.700000000000000000e+01 2.352715395452396479e+03 -1.547495599901581897e+01 -1.110082363499590719e-01 -1.565324981803301796e+01 -1.124379483348304787e-01 5.991604813683094610e-01 -5.667080592127906463e-02 -5.733522211059449702e-02 7.491449473694375416e-02
9.200000000000000000e+01 2.461676268135543069e+03 -2.144515783222697536e+01 -7.404787099542693429e-01 -2.172110132453676812e+01 -7.496198823095114872e-01 8.420162397191151005e-01 -1.591088179071791647e-02 -1.610898280423628953e-02 5.308703573356952227e-02
9.700000000000000000e+01 2.499855009860241807e+03 -2.692979112659289243e+01 2.355457816906362911e+00 -2.731518114054056312e+01 2.387755041081204066e+00 6.169347819270558642e-01 8.238793976774741457e-02 8.361679783885792028e-02 1.773308716798835671e-01
1.040000000000000000e+02 2.968853764162505740e+03 -2.602769716288128166e+01 1.110323926286497009e+00 -2.645506411599191310e+01 1.129216635348034847e+00 9.761994546786942895e-01 7.550172123950038561e-03 7.538783553337862799e-03 1.519233000994920091e-01
1.130000000000000000e+02 3.241984623062115588e+03 -3.002050963659550931e+01 3.093441234109394866e+00 -3.060144228158655721e+01 3.156624795110615889e+00 1.034594623698891214e+00 -1.304964059626221584e-01 -1.329756133474435942e-01 1.141064147137726276e-01
1.220000000000000000e+02 3.394769782984638368e+03 -3.769773622253840273e+01 6.131270514633823110e-01 -3.853641119201380150e+01 6.259961788351154910e-01 1.321274388827732071e+00 -1.143299642300511371e-01 -1.166658825993662496e-01 2.619950927234169780e-01
1.310000000000000000e+02 3.597434935745129224e+03 -4.190747455427654700e+01 5.355647155631014122e+00 -4.299013315232197385e+01 5.492871512357712760e+00 1.296548796389315417e+00 -1.276299292908798233e-01 -1.307409784424901356e-01 2.508485519642626449e-01
1.400000000000000000e+02 4.232582248647906454e+03 -3.850641083478465276e+01 3.453472974303129384e+00 -3.963495407856871111e+01 3.552768409167809782e+00 1.062772967956175041e+00 -2.317982052859031417e-01 -2.388150608304503431e-01 1.756999082544111468e-01
1.490000000000000000e+02 4.248906806918972507e+03 -4.416361663442786067e+01 8.267408305158477688e+00 -4.563020842790636777e+01 8.545352669173508886e+00 1.018399086387229646e+00 -1.445748512708465161e-01 -1.493438459193369705e-01 -1.776810098781779826e-02
1.580000000000000000e+02 4.787917074799818693e+03 -5.128621324368322831e+01 -5.249074883244500889e+00 -5.320226764593355284e+01 -5.440660297833921355e+00 1.311229553486762622e+00 -9.880214901213608958e-02 -1.023815574630936448e-01 -9.196826842661931511e-03
1.670000000000000000e+02 4.855070300513093571e+03 -4.976982327859892052e+01 8.166977760967917277e+00 -5.183893113470987402e+01 8.500632463540464201e+00 1.069179630817338245e+00 -9.453504106018144337e-02 -9.859135779156542878e-02 1.389308346813541983e-01
1.760000000000000000e+02 5.125535364834634493e+03 -4.576984015804902839e+01 -2.452281281140575420e+00 -4.788864314192070992e+01 -2.564903034557508121e+00 1.011105071901482022e+00 -3.530115763646397842e-02 -3.671474530778684464e-02 4.954629625732128728e-01
1.850000000000000000e+02 5.389169460066303145e+03 -3.042427994458104479e+01 7.037327504736448525e+00 -3.198203431090692206e+01 7.394869049888912471e+00 6.627987291213912613e-01 -2.874629730494006330e-02 -3.024833042850002054e-02 8.585898367136306220e-02
1.940000000000000000e+02 5.559596596497553946e+03 -2.786240587190030382e+01 4.862711881043455087e+00 -2.942438428960808139e+01 5.138739847387765458e+00 1.075940936237503864e+00 -1.075657412801759027e-01 -1.135162619528930078e-01 -2.634350844621146659e-01
2.030000000000000000e+02 5.456751455980877836e+03 -1.090488093078598908e+01 -1.227679391599871384e+00 -1.157435457450412031e+01 -1.310160562651206950e+00 7.816472826316563927e-01 1.883006871854240108e-02 2.013390642214767795e-02 2.541932986900152791e-02
2.120000000000000000e+02 5.647584746489015743e+03 3.721140651648009029e-02 4.659690257001558589e-01 4.917796016056928676e-02 5.016213261855674288e-01 1.297731963955284229e+00 1.178290510301089333e-01 1.264764315621697277e-01 2.854361201781780988e-01
2.210000000000000000e+02 5.833169345708612127e+03 1.777266898946742657e+01 4.878701749374324770e+00 1.906524002297167186e+01 5.220911009989905871e+00 9.261147232358124537e-01 5.761656198588874928e-02 6.170989422531956980e-02 1.712227722793498996e-01
2.300000000000000000e+02 5.698947148728542743e+03 2.488860506207139522e+01 2.876198638174592759e+00 2.684706572000473912e+01 3.131153317673879499e+00 1.631452817267297739e+00 3.052208593146435445e-01 3.292491530928667864e-01 2.292986335513574059e-01
2.390000000000000000e+02 5.792259360491234474e+03 5.147417572012275855e+01 9.007962399045574386e+00 5.584152362626948474e+01 9.776682780948879881e+00 1.751967019801679903e+00 4.256558347924150471e-02 4.572584375376070182e-02 -7.205934744022481075e-02
2.480000000000000000e+02 5.451624803818926011e+03 4.951271213502243995e+01 -7.510113980502716835e+00 5.404405588580483766e+01 -8.199681757750331812e+00 2.519646294891791705e+00 -3.099327100336660146e-01 -3.380019903194279585e-01 -7.536820503371007007e-02
2.570000000000000000e+02 5.243144548511441826e+03 7.325092082383076786e+01 1.435935968749255132e+01 8.045928453399034197e+01 1.576818547678572457e+01 3.437462497047135912e+00 5.078645218104568121e-02 5.595506050370960272e-02 1.395552009502640800e-01
2.660000000000000000e+02 5.103946538757518283e+03 8.438083695830647457e+01 1.123098504958766597e+01 9.327880296909671642e+01 1.240660540806110212e+01 3.904196939772406338e+00 9.406598446222809440e-02 1.043507926721466833e-01 2.686085007140010528e-01
2.750000000000000000e+02 5.113280258046750532e+03 1.148078119406404198e+02 -1.037655923679593334e-01 1.277628492323946716e+02 -1.209903917884464497e-01 5.253457632319090465e+00 -5.651699516772319409e-01 -6.283563695322504916e-01 -4.037820412415109028e-01
2.840000000000000000e+02 4.565039705850063910e+03 1.067654740565885447e+02 4.774859069744543660e+00 1.196496349994640696e+02 5.369403768352344564e+00 5.930144096311394719e+00 7.313259458026766247e-01 8.206350046061507975e-01 -1.752528714255485731e-01
2.930000000000000000e+02 4.390613670204154005e+03 1.154043404355585238e+02 4.386211364857260264e+00 1.302557475102583169e+02 4.950485505086906102e+00 8.275843698054922370e+00 -6.501275711615946140e-02 -7.277902035532655967e-02 4.678826353428044982e-01
3.020000000000000000e+02 3.954538465748869385e+03 1.139026051350916902e+02 6.318328991287491370e+00 1.295010594379189115e+02 7.185019988583243311e+00 9.216147868073184313e+00 3.434164387648040995e-01 3.913870594170444916e-01 -1.710988873113390152e-01
3.110000000000000000e+02 3.668271741794371337e+03 1.186321903158616635e+02 7.919698139935538173e+00 1.359329799680283202e+02 9.064670646614795047e+00 1.090133714636041873e+01 -3.024061397392488124e-02 -3.413148822025865309e-02 6.977799841230435396e-01
3.200000000000000000e+02 3.433924064766988522e+03 1.100494979459709981e+02 2.476867379458710661e-01 1.270815690346706361e+02 2.691833459456162148e-01 1.229475667324472710e+01 -8.145262532064153627e-01 -9.381843828507643313e-01 1.177957094376186481e-01
3.290000000000000000e+02 3.197969906513047135e+03 1.199125135805636546e+02 7.233386583060187114e+00 1.395545436187782400e+02 8.405191100266433679e+00 1.550145802950770957e+01 -4.473282855027386207e-01 -5.207057550591770445e-01 2.188205197301703875e-01
3.380000000000000000e+02 2.867441772986729575e+03 1.019425659519494332e+02 1.351218352081288820e+01 1.196674171632856911e+02 1.586284686042065140e+01 1.616200160294231125e+01 8.375301742320151455e-01 9.828568878594595715e-01 6.436907066289787593e-01
3.470000000000000000e+02 2.518142622219828809e+03 8.113226190634372870e+01 3.571429180946060988e+00 9.603725130048606218e+01 4.223359415464873479e+00 1.568453152755543556e+01 -5.275682965039409922e-01 -6.229269525185984202e-01 4.678708098198183785e-01
3.560000000000000000e+02 2.383360611416263055e+03 7.707996988716611497e+01 4.117274224569235308e+00 9.204935626308477481e+01 4.915456142272733864e+00 1.902117601731779217e+01 2.080112745174401145e-01 2.485168916702738817e-01 -7.092093076462311352e-01
3.650000000000000000e+02 2.214194470049309075e+03 5.115069014895108523e+01 -7.473861364932609108e-01 6.160037319008909407e+01 -8.920883402135382223e-01 1.831722414076219607e+01 -6.142274907859320843e-01 -7.397598117290865583e-01 -4.232151167844435680e-01
3.740000000000000000e+02 2.061439661588178751e+03 5.335250759330272530e+01 6.809661262349531619e+00 6.486879704217042786e+01 8.260857979297673737e+00 2.076555621690757647e+01 -3.342305735636810216e-01 -4.093185360332181610e-01 1.016032387630079636e+00
